Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1869,34.826,35.114,35.582,49.64,,69.368,73.544,71.816,65.768,54.14,40.604,34.808
1870,37.796,30.848,34.43,51.26,60.908,73.346,76.946,75.092,68.144,56.534,46.022,34.232
1871,27.716,30.704,44.078,52.7,60.296,69.062,72.878,74.408,60.944,55.274,38.714,29.084
1872,29.12,29.678,30.938,49.676,61.952,71.852,78.098,76.262,66.47,53.348,41.432,26.564
1873,27.806,29.138,35.96,46.814,58.316,69.89,75.992,72.014,65.426,55.382,37.004,36.734
1874,34.448,31.37,37.058,40.928,58.298,70.52,74.192,69.944,67.19,54.842,42.836,33.854
1875,24.152,25.214,34.43,43.646,59.63,68.63,74.066,73.796,63.878,52.988,39.362,33.242
1876,36.284,32.198,34.646,47.282,59.99,73.724,79.214,75.2,63.788,50.918,45.104,25.052
1877,27.68,37.112,36.086,47.894,59.468,70.124,75.218,75.488,67.064,55.814,44.168,37.418
1878,29.93,32.288,44.204,53.708,59.306,67.64,77.828,74.282,68.18,58.694,44.096,33.206
1879,25.952,27.932,39.848,49.082,62.906,69.836,74.948,72.05,63.158,60.386,42.89,36.572
1880,39.236,36.536,36.788,49.622,67.496,72.14,74.696,72.518,67.19,53.42,38.948,26.366
1881,24.656,28.544,36.878,46.724,62.114,65.048,73.688,73.562,73.328,58.154,44.924,39.056
1882,28.31,34.718,40.082,47.426,56.102,71.528,75.47,73.238,67.064,57.092,38.984,30.596
1883,24.422,30.182,32.486,47.318,60.854,73.436,74.282,69.908,61.754,51.908,43.754,31.658
1884,24.476,33.818,36.986,48.056,60.206,70.394,72.122,73.76,71.798,57.542,44.078,33.656
1885,29.084,22.568,30.164,48.866,59.216,69.512,77.972,71.906,63.914,53.78,44.474,35.276
1886,25.97,28.346,37.832,53.528,60.368,68.63,75.272,70.16,65.786,55.148,44.42,29.75
1887,28.31,31.91,32.09,46.292,64.418,70.088,79.07,70.394,61.808,52.376,41.198,33.368
1888,23.252,29.264,29.93,46.004,58.19,71.474,70.952,72.824,62.942,48.524,45.176,34.736
1889,35.762,28.094,39.956,51.008,63.824,70.7,73.94,70.934,65.336,49.658,44.672,39.668
1890,37.562,38.012,35.654,49.694,60.872,70.682,73.328,73.112,67.442,54.878,44.186,29.984
1891,33.998,36.356,36.338,50.018,58.424,72.068,73.058,76.046,72.086,54.986,43.862,42.494
1892,31.712,33.512,34.43,48.92,59.702,74.12,75.632,74.786,64.904,53.348,43.322,32.18
1893,23.702,29.678,35.384,47.03,58.298,68.702,74.192,74.048,63.5,56.282,42.818,34.898
1894,33.728,28.256,42.908,49.37,61.322,70.916,75.29,70.97,69.044,55.49,41.27,36.698
1895,29.624,24.476,35.546,50.072,63.302,73.796,73.13,76.154,71.672,52.286,47.948,38.354
1896,30.002,31.46,32.72,52.97,67.19,70.268,77.054,76.514,67.406,53.726,49.73,34.466
1897,30.812,33.314,40.91,50.594,61.52,67.46,76.928,73.364,67.082,56.786,45.698,38.624
1898,35.33,36.158,46.256,47.894,59.108,71.78,76.874,75.938,70.934,59.54,45.824,34.988
1899,31.334,28.076,38.21,49.748,62.834,74.678,77.054,75.956,66.056,59.0,46.364,38.066
1900,32.126,30.488,33.53,50.378,59.612,71.222,77.72,77.198,70.898,61.466,49.082,36.158
1901,32.522,26.456,38.354,48.416,57.974,71.096,78.746,75.524,68.36,56.12,39.578,35.852
1902,30.506,29.642,44.456,50.918,59.306,67.208,73.238,72.374,66.47,57.92,51.44,32.378
1903,30.56,33.512,48.218,52.412,63.68,64.292,75.092,69.422,67.226,58.226,42.08,31.514
1904,25.304,25.034,36.248,46.76,64.256,70.718,75.236,73.094,67.226,53.978,42.44,30.2
1905,29.264,24.818,40.55,50.234,61.484,70.178,77.738,74.876,69.782,59.45,43.916,38.804
1906,38.39,32.504,35.78,52.268,63.32,74.12,77.972,77.558,70.322,57.47,45.896,34.178
1907,34.88,25.88,42.62,47.03,56.57,68.9,77.558,73.886,69.8,52.61,46.058,38.714
1908,32.99,27.446,41.108,52.466,63.932,73.004,80.024,75.83,68.9,60.746,46.364,37.454
1909,34.502,38.048,38.21,48.65,61.43,72.284,73.886,72.554,67.37,54.896,49.748,32.522
1910,31.514,29.678,43.592,55.472,61.754,68.918,77.45,72.374,69.638,59.54,42.584,29.696
1911,36.284,31.172,34.826,47.894,64.562,70.088,77.756,73.256,67.73,55.994,42.332,39.524
1912,23.738,28.832,37.562,50.36,62.222,69.728,75.65,71.636,66.56,59.198,47.786,39.308
1913,40.802,31.262,44.798,52.448,60.674,70.466,76.118,73.328,64.58,58.622,47.318,38.696
1914,31.496,25.412,36.482,47.876,64.526,68.666,72.068,74.66,66.686,59.396,44.438,31.568
1915,34.466,35.87,36.752,54.392,58.946,67.964,73.886,71.438,69.944,57.65,46.256,33.422
1916,35.96,27.86,32.36,48.344,61.394,65.696,75.398,74.786,67.424,57.668,45.428,33.98
1917,32.846,28.346,39.254,48.344,54.338,70.268,75.92,76.136,63.554,52.952,41.612,25.394
1918,21.704,30.398,42.08,50.738,65.3,67.748,74.57,76.442,63.824,59.036,46.544,39.416
1919,35.618,34.916,43.25,49.946,61.97,70.934,75.146,71.114,67.604,59.252,45.194,30.164
1920,23.432,28.508,39.902,48.056,58.748,69.17,73.796,74.246,68.504,61.052,44.33,37.238
1921,33.242,33.944,48.38,56.102,61.178,71.114,77.288,71.582,72.086,56.282,44.708,32.324
1922,28.184,33.602,41.0,51.44,64.562,71.762,73.706,72.338,68.18,58.118,45.68,33.53
1923,29.93,26.132,36.788,50.288,59.99,73.346,73.724,72.554,68.27,55.994,45.212,42.008
1924,32.648,28.85,39.128,49.082,57.272,67.82,74.102,74.246,64.112,57.038,44.366,33.98
1925,28.418,37.85,44.15,51.818,59.54,74.3,73.544,73.328,68.774,50.63,43.898,34.808
1926,31.964,29.21,35.492,47.336,60.062,66.74,75.038,73.94,65.696,55.058,44.906,28.94
1927,30.92,36.356,42.98,48.596,58.964,67.28,73.94,68.45,67.874,59.54,49.136,36.68
1928,33.944,32.99,38.786,48.578,59.324,67.406,75.884,75.38,64.634,58.838,47.354,39.308
1929,31.946,32.918,45.104,50.936,61.682,71.528,75.902,73.094,69.368,54.572,46.166,35.762
1930,33.296,37.004,40.244,48.398,63.806,73.508,76.388,73.526,71.978,55.526,45.428,34.646
1931,32.738,33.836,40.316,51.062,61.448,70.7,77.45,75.236,72.338,61.25,51.89,40.928
1932,43.196,36.104,37.346,49.01,61.988,70.448,76.1,76.658,69.692,58.424,43.952,38.894
1933,40.298,34.088,38.336,50.396,64.382,72.356,75.776,74.822,69.512,56.084,41.828,32.702
1934,34.646,19.922,37.292,50.27,63.644,73.796,77.72,71.996,69.242,54.482,48.848,33.404
1935,28.85,31.172,43.394,49.64,59.864,70.088,77.234,74.642,65.264,57.416,48.632,29.984
1936,29.3,25.718,45.176,47.84,64.382,69.746,76.19,75.416,68.144,57.542,42.638,38.57
1937,40.28,34.79,36.5,49.586,64.166,71.834,76.55,76.604,66.002,55.094,46.382,35.384
1938,32.108,35.366,44.15,53.654,60.782,70.286,76.55,78.17,65.966,59.846,48.29,36.95
1939,32.162,37.004,39.182,48.272,64.922,72.932,76.622,78.044,68.594,57.272,43.664,36.896
1940,24.962,32.864,35.114,46.796,60.674,70.43,76.208,71.33,66.614,53.726,45.338,38.408
1941,29.408,31.118,35.906,56.822,64.706,71.906,75.83,74.03,69.998,60.692,50.0,38.318
1942,30.722,29.624,42.98,53.888,65.282,71.006,76.298,73.598,68.27,58.748,46.976,31.064
1943,30.74,34.592,40.19,46.076,62.564,76.154,76.874,75.902,67.334,55.778,45.32,33.044
1944,33.908,33.17,37.742,48.848,66.992,72.284,79.376,77.792,70.034,57.038,45.968,32.324
1945,25.196,33.908,51.08,55.598,59.198,70.844,74.552,73.382,70.322,56.192,47.57,30.992
1946,34.124,31.694,49.82,50.396,61.934,69.692,75.416,70.934,69.782,61.718,50.432,38.102
1947,37.13,29.264,37.796,50.45,59.936,68.396,75.506,75.92,68.594,63.626,44.204,34.016
1948,25.268,30.74,42.026,50.972,60.188,69.422,77.144,75.254,70.232,56.642,52.43,38.264
1949,38.624,38.606,42.854,53.69,63.05,74.246,79.61,76.73,66.182,63.122,46.274,39.38
1950,41.396,31.568,36.32,48.434,58.748,70.25,75.02,73.094,64.598,60.008,48.38,34.88
1951,36.194,36.212,41.54,53.042,63.338,69.818,76.82,74.588,68.162,58.64,43.52,37.652
1952,36.158,36.194,40.208,55.058,60.674,73.544,80.276,74.948,69.872,55.706,48.542,38.408
1953,37.634,38.444,43.322,52.304,63.374,73.454,77.81,75.794,70.376,60.728,49.694,41.342
1954,30.794,40.136,41.54,53.744,59.81,71.564,76.712,72.698,67.388,61.736,46.364,35.906
1955,30.938,35.006,41.666,53.474,65.39,68.864,80.852,78.116,67.784,59.792,44.258,29.678
1956,32.018,36.554,37.364,48.236,58.658,71.42,72.914,74.192,64.814,58.064,46.67,40.874
1957,28.526,37.238,41.918,53.24,63.104,74.264,77.666,73.562,69.71,56.21,49.37,40.208
1958,31.874,27.392,40.244,52.862,59.072,67.154,76.082,75.146,67.55,55.49,47.93,29.318
1959,31.226,32.054,40.082,53.744,66.308,71.186,76.298,77.504,72.284,59.774,45.77,38.354
1960,33.872,36.266,33.368,53.996,62.618,71.816,74.534,74.912,68.0,58.046,49.676,30.92
1961,27.734,36.626,41.522,48.992,59.846,72.356,78.062,76.388,73.508,61.088,48.722,35.492
1962,32.558,31.82,43.052,53.294,64.382,72.464,73.976,72.392,64.94,57.362,43.178,31.478
1963,30.128,28.238,43.664,53.672,61.106,70.916,76.37,72.068,63.05,61.826,50.36,31.172
1964,35.636,32.81,43.124,49.694,65.408,71.6,75.38,72.896,67.136,54.968,49.388,36.41
1965,29.66,33.872,40.01,50.612,66.38,70.07,74.3,73.148,67.46,57.29,46.76,40.46
1966,32.216,35.042,42.656,49.676,61.556,75.398,79.664,76.856,66.506,56.12,48.884,35.708
1967,37.346,29.174,37.526,49.55,55.184,72.77,75.326,73.868,66.704,57.164,42.458,38.156
1968,26.708,28.85,43.268,54.968,59.576,69.71,77.306,76.01,70.592,60.512,46.886,34.232
1969,31.82,32.612,40.046,55.94,65.21,73.058,74.75,77.396,68.918,57.65,46.346,33.35
1970,25.142,32.99,38.66,52.088,64.04,70.844,77.108,77.63,70.808,58.928,48.47,34.394
1971,26.942,35.096,40.118,50.756,61.34,74.192,77.81,75.92,71.546,62.654,45.14,40.766
1972,35.042,31.46,39.758,50.126,63.266,67.82,77.126,75.596,69.53,53.492,44.348,38.516
1973,35.51,32.468,46.364,53.348,59.468,73.382,77.342,77.63,69.512,60.188,48.29,39.002
1974,35.204,31.712,42.044,55.148,60.944,69.026,77.18,76.37,66.668,54.104,48.218,39.344
1975,37.292,35.798,40.118,47.858,65.804,70.466,75.812,74.354,64.13,59.162,52.304,35.834
1976,27.32,39.866,44.402,55.004,60.188,73.13,74.822,74.318,66.614,52.862,41.648,29.912
1977,22.064,33.458,46.742,53.69,65.012,70.178,78.98,75.704,68.162,54.932,47.3,35.636
1978,27.968,27.194,39.002,51.566,61.466,71.24,74.318,75.992,64.94,54.878,47.768,38.858
