Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1836,1.0905511811,2.01181102362,1.31102362205,2.66141732283,0.629921259843,6.46062992126,1.44094488189,2.37007874016,3.40157480315,2.0,1.90157480315,2.29921259843
1837,2.70078740157,3.70078740157,8.20078740157,7.5,9.5,8.5,5.90157480315,6.29921259843,2.09842519685,2.11023622047,2.90157480315,6.09842519685
1838,3.92913385827,3.70078740157,4.09842519685,2.5,3.98818897638,3.11811023622,1.83070866142,4.79133858268,4.96062992126,3.64173228346,3.09842519685,2.24015748031
1839,0.688976377953,2.05118110236,2.46062992126,3.35039370079,8.37007874016,4.94094488189,1.35039370079,4.92125984252,3.5905511811,1.44881889764,2.18897637795,7.61023622047
1840,1.83858267717,1.83858267717,2.92125984252,2.03149606299,2.38976377953,2.40157480315,1.79921259843,4.25196850394,1.83858267717,4.5905511811,2.90157480315,1.0
1841,5.29921259843,0.799212598425,2.35039370079,3.92913385827,3.94881889764,4.64960629921,4.90157480315,2.5,2.90157480315,4.40157480315,3.70078740157,2.70078740157
1842,1.07086614173,2.85039370079,1.25196850394,3.59842519685,3.59842519685,3.29921259843,3.79921259843,2.81102362205,2.09842519685,4.29921259843,1.79921259843,3.5
1843,1.0,2.31102362205,2.12992125984,2.14173228346,1.0,0.759842519685,1.64173228346,15.2598425197,3.05905511811,5.9094488189,2.8188976378,3.33858267717
1844,2.66141732283,1.03149606299,4.5,0.551181102362,3.4094488189,2.37007874016,6.0,2.72834645669,4.5,4.07874015748,1.72834645669,2.8188976378
1845,4.87007874016,3.22047244094,3.33070866142,1.22047244094,1.75196850394,3.70078740157,1.75196850394,3.20866141732,2.61811023622,2.5,3.40157480315,2.51181102362
1846,3.92125984252,3.01181102362,3.8188976378,4.01181102362,9.70078740157,1.38976377953,6.01181102362,3.88188976378,0.48031496063,1.33858267717,8.35826771654,2.98818897638
1847,4.61811023622,5.74015748031,8.48031496063,1.53149606299,2.1811023622,6.77952755906,1.61811023622,6.92913385827,12.2007874016,2.12992125984,6.29133858268,6.35039370079
1848,1.75196850394,1.6811023622,2.22834645669,1.16141732283,7.27952755906,4.55905511811,2.64173228346,1.4094488189,1.87007874016,6.61023622047,1.5905511811,4.01968503937
